student_id,enrolled_courses,video_watch_mins,avg_quiz_score,days_active,completion_status
STU_00200,"Data Visualization, Artificial Intelligence",1185,92.1,36,1
STU_00201,"Artificial Intelligence, Cyber Security, Cloud Computing",873,94.3,18,1
STU_00202,Cyber Security,1543,84.3,54,1
STU_00203,"Data Science, Machine Learning",1519,86.2,57,1
STU_00204,"Web Development, Cloud Computing, Data Visualization",1385,93.3,51,1
STU_00205,"Cloud Computing, Artificial Intelligence",742,84.4,57,1
STU_00206,Machine Learning,320,38.8,15,0
STU_00207,"Web Development, Cloud Computing, Blockchain, Python Programming",1538,84.2,38,1
STU_00208,"Cloud Computing, Python Programming, Blockchain, Web Development",1465,86.0,38,1
STU_00209,"Cloud Computing, Artificial Intelligence",887,97.8,41,1
STU_00210,"Artificial Intelligence, Cloud Computing",1240,99.5,47,1
STU_00211,"Data Science, Machine Learning",1460,87.8,24,1
STU_00212,Cloud Computing,1375,85.8,60,0
STU_00213,"Deep Learning, Data Science, Machine Learning, Blockchain",483,44.7,7,0
STU_00214,"Artificial Intelligence, Data Science, Deep Learning, Machine Learning",454,80.5,66,1
STU_00215,"Cloud Computing, Cyber Security",938,92.9,40,1
STU_00216,"Deep Learning, Machine Learning",958,75.0,33,0
STU_00217,Artificial Intelligence,619,72.9,28,1
STU_00218,"Data Visualization, Blockchain, Deep Learning, Python Programming",402,69.8,8,0
STU_00219,"Cyber Security, Deep Learning, Cloud Computing, Web Development, Machine Learning",1892,78.4,62,1
STU_00220,"Artificial Intelligence, Cyber Security, Python Programming",1686,78.6,37,1
STU_00221,"Deep Learning, Artificial Intelligence",1366,78.8,37,1
STU_00222,"Cloud Computing, Data Visualization, Machine Learning, Cyber Security, Python Programming",1149,99.2,36,1
STU_00223,"Cyber Security, Machine Learning, Blockchain",351,49.4,6,0
STU_00224,"Data Visualization, Cyber Security, Deep Learning",988,100.0,71,1
STU_00225,Data Visualization,1091,90.8,53,1
STU_00226,"Data Visualization, Machine Learning, Cyber Security",1525,83.2,33,1
STU_00227,"Cloud Computing, Python Programming",1465,75.5,32,1
STU_00228,"Cyber Security, Artificial Intelligence",1197,79.8,48,0
STU_00229,"Deep Learning, Blockchain, Web Development, Python Programming, Machine Learning",10,41.9,16,0
STU_00230,"Cyber Security, Machine Learning",1302,91.8,72,1
STU_00231,"Web Development, Python Programming",336,59.6,14,0
STU_00232,"Data Science, Artificial Intelligence, Machine Learning, Data Visualization",1326,93.2,52,1
STU_00233,"Artificial Intelligence, Web Development, Deep Learning",1502,100.0,35,1
STU_00234,"Cloud Computing, Data Science, Blockchain, Web Development",372,52.5,10,0
STU_00235,"Python Programming, Data Science",196,62.4,12,0
STU_00236,"Artificial Intelligence, Deep Learning, Python Programming, Machine Learning",360,57.9,10,0
STU_00237,"Blockchain, Machine Learning, Web Development",1425,71.5,67,1
STU_00238,Blockchain,1264,87.5,68,1
STU_00239,"Artificial Intelligence, Python Programming, Cloud Computing, Web Development, Deep Learning",481,33.4,10,0
STU_00240,Data Visualization,1322,95.7,29,1
STU_00241,Cyber Security,28,69.5,7,0
STU_00242,"Web Development, Data Science, Machine Learning, Cyber Security",319,46.6,11,0
STU_00243,"Blockchain, Deep Learning, Data Visualization",1160,64.6,55,1
STU_00244,"Web Development, Data Visualization",462,33.3,1,0
STU_00245,"Blockchain, Artificial Intelligence",1394,94.9,61,1
STU_00246,"Data Visualization, Deep Learning",496,64.8,9,0
STU_00247,"Deep Learning, Data Visualization, Machine Learning",115,79.9,14,1
STU_00248,"Cyber Security, Machine Learning",269,36.2,17,0
STU_00249,"Data Visualization, Machine Learning, Deep Learning, Web Development",375,54.6,11,0
STU_00250,"Blockchain, Web Development, Deep Learning",1130,90.7,51,1
STU_00251,"Data Visualization, Python Programming, Cloud Computing",916,88.2,63,1
STU_00252,"Web Development, Blockchain",373,44.9,19,0
STU_00253,"Artificial Intelligence, Machine Learning",188,54.8,2,0
STU_00254,"Machine Learning, Cloud Computing, Artificial Intelligence",1369,80.5,16,1
STU_00255,Web Development,1148,78.1,82,1
STU_00256,"Python Programming, Cloud Computing",225,66.8,12,0
STU_00257,"Cloud Computing, Deep Learning, Blockchain, Machine Learning",1192,79.3,41,1
STU_00258,"Data Visualization, Machine Learning, Data Science, Deep Learning, Web Development",1079,85.0,27,0
STU_00259,"Blockchain, Artificial Intelligence, Data Visualization",1357,100.0,31,1
STU_00260,"Deep Learning, Cloud Computing",1211,75.0,40,1
STU_00261,"Machine Learning, Python Programming, Data Science",448,64.3,7,0
STU_00262,Machine Learning,233,76.0,14,0
STU_00263,Cyber Security,1743,88.6,50,1
STU_00264,"Artificial Intelligence, Blockchain, Machine Learning, Data Science",1404,95.5,36,1
STU_00265,Web Development,1234,94.5,42,1
STU_00266,"Python Programming, Artificial Intelligence, Data Visualization",1595,100.0,47,0
STU_00267,Artificial Intelligence,145,47.1,13,0
STU_00268,"Data Science, Cloud Computing",469,80.9,12,0
STU_00269,"Cyber Security, Data Visualization",130,63.5,7,0
STU_00270,Artificial Intelligence,1263,82.4,19,1
STU_00271,"Deep Learning, Machine Learning, Data Visualization, Cyber Security",1479,93.7,17,1
STU_00272,"Cyber Security, Machine Learning",929,87.2,60,1
STU_00273,"Web Development, Data Visualization",1168,100.0,20,1
STU_00274,"Machine Learning, Data Visualization, Python Programming",1028,99.8,65,1
STU_00275,"Web Development, Cyber Security, Deep Learning, Machine Learning",1320,78.1,49,1
STU_00276,"Web Development, Data Visualization",1112,90.4,39,1
STU_00277,"Cloud Computing, Deep Learning, Machine Learning",529,87.4,27,0
STU_00278,"Machine Learning, Blockchain",1295,72.1,62,1
STU_00279,"Deep Learning, Web Development, Data Science, Machine Learning",66,50.9,1,0
STU_00280,"Web Development, Data Science, Machine Learning, Cyber Security",1276,69.4,38,1
STU_00281,"Cyber Security, Web Development, Deep Learning",948,90.2,57,1
STU_00282,"Machine Learning, Cyber Security",1566,88.8,51,1
STU_00283,"Cloud Computing, Python Programming, Deep Learning, Machine Learning",254,60.7,8,0
STU_00284,Python Programming,217,65.9,10,0
STU_00285,Machine Learning,1160,74.7,42,1
STU_00286,"Cyber Security, Blockchain, Python Programming",1334,94.2,50,1
STU_00287,"Artificial Intelligence, Deep Learning",569,100.0,31,1
STU_00288,Cyber Security,360,71.6,4,1
STU_00289,"Deep Learning, Machine Learning",1282,78.5,61,1
STU_00290,"Artificial Intelligence, Cyber Security",1150,93.7,52,1
STU_00291,"Web Development, Data Science, Deep Learning, Blockchain",295,85.1,14,0
STU_00292,"Web Development, Python Programming, Deep Learning, Machine Learning",346,71.6,15,0
STU_00293,"Cloud Computing, Web Development",873,100.0,33,1
STU_00294,"Web Development, Data Science, Deep Learning, Machine Learning",1288,84.4,49,1
STU_00295,"Cloud Computing, Data Visualization, Data Science, Web Development",1302,99.4,53,0
STU_00296,"Blockchain, Data Visualization",1306,96.9,26,1
STU_00297,"Data Science, Blockchain, Machine Learning, Deep Learning",1416,91.4,64,1
STU_00298,Python Programming,260,52.4,10,0
STU_00299,"Artificial Intelligence, Deep Learning",816,68.6,31,1
STU_00300,"Data Science, Web Development",532,45.4,3,0
STU_00301,"Machine Learning, Blockchain",1250,78.0,61,1
STU_00302,"Blockchain, Python Programming",1660,94.8,40,1
STU_00303,"Web Development, Data Science, Data Visualization",231,54.7,4,0
STU_00304,"Web Development, Data Science",740,95.2,81,0
STU_00305,"Deep Learning, Artificial Intelligence, Cyber Security",1403,90.8,41,1
STU_00306,"Artificial Intelligence, Blockchain, Web Development, Data Science",1317,77.5,40,1
STU_00307,"Artificial Intelligence, Deep Learning",938,75.2,59,1
STU_00308,"Cloud Computing, Data Visualization, Blockchain",1014,94.2,21,1
STU_00309,"Web Development, Data Science, Cloud Computing",209,31.2,9,0
STU_00310,"Deep Learning, Blockchain, Machine Learning",1152,86.1,24,1
STU_00311,"Machine Learning, Cloud Computing, Web Development",1248,75.6,65,1
STU_00312,"Blockchain, Data Science, Data Visualization",288,56.9,7,1
STU_00313,"Cyber Security, Deep Learning, Python Programming, Artificial Intelligence, Web Development, Machine Learning",480,60.8,8,0
STU_00314,"Machine Learning, Deep Learning",360,34.0,18,0
STU_00315,"Machine Learning, Deep Learning, Data Science, Web Development",258,66.3,13,1
STU_00316,"Cyber Security, Data Science",989,82.1,63,1
STU_00317,"Web Development, Python Programming, Machine Learning",335,43.3,21,0
STU_00318,"Data Science, Blockchain",828,91.3,51,1
STU_00319,"Data Visualization, Machine Learning",1567,100.0,21,1
STU_00320,"Machine Learning, Python Programming",340,53.7,22,0
STU_00321,"Web Development, Cyber Security, Machine Learning, Python Programming, Artificial Intelligence",1324,77.3,23,0
STU_00322,"Blockchain, Artificial Intelligence, Data Science",13,63.5,18,0
STU_00323,"Deep Learning, Artificial Intelligence, Machine Learning",134,44.3,7,0
STU_00324,"Blockchain, Deep Learning, Machine Learning",1140,87.3,21,1
STU_00325,"Blockchain, Web Development, Python Programming, Artificial Intelligence",1338,100.0,27,0
STU_00326,"Data Visualization, Deep Learning, Cloud Computing",114,80.1,12,0
STU_00327,"Artificial Intelligence, Machine Learning",1228,78.2,30,1
STU_00328,"Deep Learning, Data Science, Python Programming, Machine Learning",394,53.3,5,0
STU_00329,"Cyber Security, Web Development, Data Science",1594,72.9,36,0
STU_00330,"Cyber Security, Python Programming",88,73.2,10,0
STU_00331,"Artificial Intelligence, Python Programming, Deep Learning",975,87.3,37,1
STU_00332,"Blockchain, Cyber Security, Cloud Computing, Python Programming",1308,92.1,59,1
STU_00333,Deep Learning,139,41.7,6,0
STU_00334,"Cloud Computing, Machine Learning, Deep Learning, Artificial Intelligence",1128,66.6,52,1
STU_00335,"Data Visualization, Deep Learning",1846,73.7,57,1
STU_00336,"Blockchain, Cloud Computing",1209,85.8,43,1
STU_00337,"Machine Learning, Data Visualization",1370,91.0,37,1
STU_00338,"Blockchain, Cloud Computing",264,63.0,5,0
STU_00339,"Cloud Computing, Web Development",1215,86.7,41,1
STU_00340,"Data Science, Cyber Security, Deep Learning, Artificial Intelligence, Machine Learning",1259,84.7,57,1
STU_00341,"Data Visualization, Cloud Computing, Python Programming",202,62.9,1,0
STU_00342,"Deep Learning, Machine Learning",1219,78.9,42,1
STU_00343,Python Programming,376,55.8,1,0
STU_00344,"Cyber Security, Python Programming, Data Science",203,40.9,9,0
STU_00345,"Deep Learning, Web Development, Data Visualization",381,35.8,5,0
STU_00346,Cyber Security,1325,82.9,67,1
STU_00347,Machine Learning,1030,80.9,39,1
STU_00348,Data Visualization,193,49.2,10,0
STU_00349,"Machine Learning, Python Programming, Data Science",739,94.1,52,1
STU_00350,"Blockchain, Machine Learning",643,34.5,8,0
STU_00351,"Cyber Security, Artificial Intelligence",1562,81.8,58,1
STU_00352,Cyber Security,414,46.4,1,0
STU_00353,Machine Learning,1458,77.0,46,1
STU_00354,"Cyber Security, Machine Learning",864,84.8,53,1
STU_00355,Deep Learning,611,100.0,27,1
STU_00356,"Cloud Computing, Web Development",1187,83.3,70,1
STU_00357,"Data Science, Deep Learning, Machine Learning",168,20.9,11,0
STU_00358,"Data Science, Artificial Intelligence, Cyber Security, Python Programming, Web Development",1262,78.3,60,1
STU_00359,"Blockchain, Data Science, Machine Learning",60,48.9,9,0
STU_00360,"Cyber Security, Blockchain, Data Visualization",1476,92.4,49,1
STU_00361,"Machine Learning, Data Science, Deep Learning",1007,86.7,27,1
STU_00362,"Blockchain, Deep Learning, Data Science",1218,100.0,47,1
STU_00363,Data Science,1271,80.5,32,1
STU_00364,"Blockchain, Python Programming",1589,97.0,35,1
STU_00365,"Cloud Computing, Data Science, Blockchain",232,48.5,11,0
STU_00366,"Deep Learning, Blockchain, Cloud Computing",193,69.9,6,0
STU_00367,"Blockchain, Cloud Computing, Data Science",824,80.0,49,1
STU_00368,"Machine Learning, Blockchain, Data Science",922,89.6,77,1
STU_00369,Data Science,1636,100.0,56,1
STU_00370,"Web Development, Deep Learning, Python Programming",389,49.5,5,0
STU_00371,"Web Development, Cloud Computing, Artificial Intelligence, Data Visualization",1021,72.2,18,1
STU_00372,"Python Programming, Cyber Security, Cloud Computing",615,82.8,40,1
STU_00373,"Artificial Intelligence, Data Visualization, Cloud Computing, Web Development",98,68.7,11,0
STU_00374,"Cyber Security, Data Visualization, Web Development, Artificial Intelligence",339,52.5,11,0
STU_00375,"Deep Learning, Web Development, Blockchain",482,52.9,14,0
STU_00376,"Blockchain, Machine Learning, Deep Learning",410,57.7,3,0
STU_00377,"Cyber Security, Artificial Intelligence, Data Science, Python Programming, Data Visualization",285,53.7,14,0
STU_00378,"Web Development, Data Visualization",386,73.6,10,1
STU_00379,"Data Science, Deep Learning, Blockchain, Machine Learning",645,71.1,1,1
STU_00380,"Cyber Security, Web Development, Cloud Computing",1223,92.5,50,0
STU_00381,"Data Visualization, Blockchain, Cyber Security",1013,89.8,41,1
STU_00382,"Deep Learning, Python Programming, Machine Learning",1194,82.9,32,1
STU_00383,"Cyber Security, Cloud Computing, Python Programming, Data Visualization",339,34.0,13,0
STU_00384,"Cloud Computing, Deep Learning",516,72.9,6,0
STU_00385,"Web Development, Blockchain, Artificial Intelligence",82,38.4,7,0
STU_00386,"Data Visualization, Blockchain, Cyber Security, Web Development",953,100.0,39,1
STU_00387,"Web Development, Machine Learning, Data Science, Python Programming",45,76.9,18,0
STU_00388,"Deep Learning, Machine Learning",187,32.1,16,0
STU_00389,"Web Development, Blockchain, Data Visualization",1254,76.6,78,0
STU_00390,Data Science,1111,100.0,75,1
STU_00391,"Blockchain, Cyber Security, Data Science",1689,94.6,35,1
STU_00392,"Deep Learning, Web Development, Data Science, Artificial Intelligence",1448,76.8,44,1
STU_00393,"Deep Learning, Machine Learning",1534,78.5,59,1
